	S7	S8	S9	S10
dre-mir-218a-1-5p	129	50	43	27
dre-mir-125b-3-3p	140	53	35	19
dre-mir-15c-3p	144	45	31	44
dre-mir-190a-5p	124	46	43	33
dre-mir-183-3p	127	37	36	23
dre-mir-730-3p	134	46	25	37
dre-let-7h-5p	125	32	31	27
dre-mir-729-3p	134	55	29	39
dre-mir-726-5p	120	49	25	26
dre-mir-1306-5p	126	65	47	43
dre-mir-128-2-5p	103	37	20	23
dre-mir-132-1-3p	107	29	26	26
dre-let-7g-2-3p	107	29	16	36
dre-let-7a-3-3p	119	42	37	31
dre-mir-194b-5p	99	47	30	25
dre-mir-107a-5p	105	34	16	23
dre-mir-146b-3p	89	45	27	15
dre-mir-142a-5p	104	41	27	44
dre-mir-430a-17-3p	88	32	22	34
dre-mir-2187-5p	100	21	23	33
dre-mir-129-1-3p	87	30	32	16
dre-mir-451-3p	81	18	8	6
dre-mir-460-5p	86	41	27	41
dre-mir-125b-1-5p	85	25	16	14
dre-mir-2192-3p	80	22	28	12
dre-mir-7a-1-3p	82	29	18	28
dre-mir-29a-3p	65	21	16	12
dre-mir-1306-3p	79	21	13	16
dre-mir-2191-3p	69	18	26	16
dre-mir-34b-3p	73	21	16	22
dre-mir-7149-5p	70	22	10	18
dre-mir-365-3-5p	70	22	14	13
dre-mir-130c-2-3p	60	28	31	37
dre-mir-731-5p	66	18	9	8
dre-mir-2184-3p	49	21	16	12
dre-mir-218a-1-3p	65	29	21	19
dre-mir-430i-3-3p	62	31	20	35
dre-mir-29b-1-3p	58	16	11	15
dre-mir-150-3p	60	14	8	21
dre-mir-19a-5p	63	17	19	16
dre-mir-1388-3p	62	19	19	6
dre-mir-222b-3p	62	19	20	7
dre-let-7j-3p	51	4	8	4
dre-mir-199-3-5p	47	13	14	8
dre-mir-499-3p	58	26	13	26
dre-mir-7147-5p	55	10	17	14
dre-let-7e-3p	54	28	3	19
dre-mir-736-5p	48	11	1	11
dre-mir-31-3p	53	19	3	11
dre-mir-218b-3p	44	18	15	16
dre-mir-733-3p	46	15	1	1
dre-mir-9-5-3p	36	9	3	5
dre-mir-2187-3p	42	11	11	9
dre-mir-738-3p	41	11	2	2
dre-mir-125a-2-3p	42	14	10	10
dre-let-7c-1-5p	39	11	6	12
dre-mir-218a-2-3p	39	10	12	9
dre-mir-365-1-5p	38	14	13	5
dre-mir-23b-5p	33	3	6	8
dre-mir-133a-1-3p	31	14	2	4
dre-let-7h-3p	31	1	3	8
dre-mir-103-5p	31	17	9	7
dre-mir-29a-5p	29	14	6	13
dre-mir-204-1-5p	30	10	5	3
dre-mir-130c-2-5p	28	7	10	7
dre-mir-24-5-5p	30	18	10	15
dre-mir-459-3p	26	2	3	5
dre-mir-7149-3p	26	10	5	7
dre-let-7b-5p	31	16	13	7
dre-let-7a-5-3p	27	9	7	2
dre-mir-124-5-5p	23	5	2	2
dre-mir-15a-2-3p	31	12	9	12
dre-mir-124-3-5p	30	13	5	3
dre-mir-7148-3p	28	6	4	2
dre-mir-99-1-3p	28	10	8	9
dre-mir-193a-2-5p	27	15	5	4
dre-mir-128-2-3p	28	6	4	2
dre-mir-722-5p	23	8	2	6
dre-let-7a-4-3p	24	11	4	5
dre-mir-17a-1-5p	23	3	6	4
dre-mir-2184-5p	29	8	4	9
dre-mir-729-5p	25	4	3	6
dre-mir-9-2-5p	23	11	9	3
dre-let-7a-1-5p	27	10	2	5
dre-mir-23a-3-5p	18	1	5	3
dre-let-7c-1-3p	26	3	3	4
dre-let-7a-6-5p	24	8	5	7
dre-mir-219-1-5p	18	5	9	4
dre-mir-489-5p	20	14	6	10
dre-mir-462-3p	24	18	12	9
dre-mir-23a-2-5p	21	7	3	6
dre-mir-728-3p	19	4	9	7
dre-mir-7a-3-3p	19	5	3	4
dre-mir-181a-1-5p	21	6	8	7
dre-mir-1-2-5p	19	4	0	2
dre-mir-2185-3-3p	18	15	3	7
dre-mir-29b-2-5p	13	4	3	8
dre-mir-1788-5p	17	7	0	1
dre-mir-2186-5p	18	14	4	2
dre-mir-24-1-5p	16	4	5	3
dre-mir-7a-2-3p	13	4	1	8
dre-mir-24-4-3p	14	3	7	0
dre-mir-740-5p	13	5	4	2
dre-mir-2189-5p	12	16	1	3
dre-mir-375-2-3p	15	6	8	4
dre-mir-430a-1-5p	10	5	10	11
dre-mir-731-3p	10	13	5	2
dre-mir-2191-5p	13	3	3	3
dre-mir-15a-1-3p	13	9	1	5
dre-mir-2186-3p	12	3	0	4
dre-let-7g-2-5p	11	3	2	2
dre-mir-430a-18-5p	11	2	0	0
dre-mir-728-5p	12	2	4	5
dre-let-7b-3p	8	0	0	0
dre-mir-430a-8-3p	8	4	5	3
dre-mir-24-4-5p	8	2	7	2
dre-let-7f-3p	11	2	1	1
dre-mir-181b-1-5p	11	3	3	3
dre-mir-135c-1-3p	11	7	0	2
dre-mir-1788-3p	12	2	6	2
dre-mir-724-3p	11	2	5	2
dre-let-7a-2-5p	11	4	2	3
dre-mir-338-2-3p	7	6	7	2
dre-mir-23a-1-5p	9	0	1	1
dre-mir-7a-2-5p	7	6	2	0
dre-mir-9-3-5p	10	5	6	6
dre-mir-456-5p	9	3	0	5
dre-mir-204-1-3p	5	0	4	3
dre-mir-2192-5p	5	3	3	1
dre-mir-199-1-3p	6	1	2	0
dre-let-7g-1-3p	7	1	1	2
dre-mir-29b-1-5p	5	1	1	2
dre-mir-460-3p	1	1	0	7
dre-mir-21-2-3p	6	0	0	0
dre-mir-222b-5p	3	5	0	1
dre-mir-736-3p	6	0	4	4
dre-mir-7147-3p	4	5	6	3
dre-mir-9-5-5p	3	0	0	0
dre-mir-2193-5p	3	0	0	1
dre-mir-9-1-3p	2	3	2	0
dre-mir-212-3p	3	2	4	0
dre-mir-122-3p	4	3	1	1
dre-mir-129-1-5p	5	4	2	0
dre-mir-190a-3p	6	4	0	2
dre-mir-375-1-5p	5	1	1	1
dre-mir-193a-1-5p	5	1	0	1
dre-mir-3906-3p	3	2	0	2
dre-let-7a-6-3p	4	0	0	1
dre-mir-9-2-3p	4	3	1	0
dre-mir-3906-5p	0	0	3	0
dre-mir-132-1-5p	3	0	0	1
dre-mir-216b-3p	0	2	0	0
dre-mir-101a-5p	1	1	2	2
dre-mir-458-5p	4	1	0	0
dre-mir-375-2-5p	1	2	0	0
dre-mir-100-1-5p	2	0	1	1
dre-mir-430b-8-3p	0	4	1	0
dre-mir-125b-2-5p	0	0	0	2
dre-let-7d-2-5p	2	0	0	0
dre-mir-142b-5p	2	0	1	1
dre-mir-429b-5p	2	1	1	0
dre-mir-124-6-3p	3	0	0	0
dre-mir-2196-3p	3	1	1	0
dre-mir-190b-3p	3	0	0	0
