A543S7	A543S8	A543S9	A543S10	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
dre-mir-153b-3p	2732.18703572261	3291.69629829933	4722.8713448165	3757.52305036253	3626.06943230024	-0.397650564846316	0.184090161140858	-2.1600859186714	0.0307660189016992	0.759677199411891
dre-mir-200c-5p	727.643003793871	714.892129904287	552.295321612549	487.403528704298	620.558496003751	0.384448144212051	0.180781006494378	2.12659588342323	0.033453674836487	0.759677199411891
dre-mir-455-2-3p	160.089084124372	196.110759718561	226.888888878669	342.583949888005	231.418170652402	-0.471762595414266	0.21456667470241	-2.19867598763214	0.0279009695437692	0.759677199411891
dre-mir-101b-5p	60.9863177616655	63.8500147920895	94.0394736799746	118.347182688584	84.3057472305783	-0.481637165560869	0.224699903065062	-2.14346850617649	0.0320754973397999	0.759677199411891
dre-mir-214-3p	1180.84757766025	1201.74849269397	1870.34064319061	1441.96698907406	1423.72592565472	-0.383469132568307	0.183548701711701	-2.08919555950126	0.0366901230000733	0.799844681401598
dre-mir-430b-13-5p	37911.7632720533	32985.3737131276	43561.173974646	50383.19863012	41210.3773974868	-0.33912776047564	0.172279919125835	-1.96846946641493	0.0490140459497302	0.803718799357826
dre-mir-148-5p	861.431738383525	882.498418733522	1115.03947363398	1195.92942506358	1013.72476395365	-0.339526915781979	0.172253649545215	-1.97108692139992	0.0487139344270698	0.803718799357826
dre-mir-99-2-3p	609.100848644634	2522.07558428753	440.343567231627	336.355150799132	976.968787740732	0.360666443606327	0.183978525329643	1.96037251065092	0.049952266439791	0.803718799357826
dre-mir-101b-3p	708.20361500734	921.264499143005	941.887426858158	1498.02618087391	1017.3454304706	-0.419840245935981	0.208818663774393	-2.01054943244716	0.0443730698782352	0.803718799357826
dre-mir-455-1-5p	218.407250483964	343.193829507481	453.777777757338	389.299943054551	351.169700200834	-0.420492481348257	0.211675081989522	-1.98649967391567	0.0469778690059699	0.803718799357826
dre-mir-726-3p	89.1924897264358	111.737525886157	58.2149122780795	59.1735913442918	79.5796298087409	0.461883671174433	0.22672813645522	2.03716961818569	0.0416330473092988	0.803718799357826
dre-let-7a-2-3p	70.1342654259153	75.2518031478197	50.751461986018	26.4723961277095	55.6524816718656	0.456597855597867	0.232174701465486	1.96661329901933	0.049227809097094	0.803718799357826
dre-mir-738-3p	15.6277439264268	12.5419671913033	2.98538011682459	3.11439954443641	8.56737269474777	0.357006757718956	0.182261101330216	1.95876550242139	0.0501402553727818	0.803718799357826
dre-mir-430a-1-5p	3.81164486010409	5.70089417786513	14.926900584123	17.1291974944002	10.3921592791231	-0.380603391772013	0.192182058445846	-1.98043144531757	0.0476550694788874	0.803718799357826
