mt1	mt2	wt2	wt3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-mir-183-5p	1555.61983830767	143.417445978586	115963.735973287	4158.79388092988	30455.3917846258	4.42093175878341	1.13132975515502	3.90773047260445	9.31671543758782e-05	0.00487796601125134
mmu-mir-467a-9-5p	7348.5801123928	3790.50969371441	383423.72381399	11102.4003732672	101416.303498341	3.97039512304641	1.06878058438795	3.71488328010759	0.000203297511365735	0.00993447172207223
mmu-mir-10b-3p	1458.93842196863	1175.48691703944	371.697551071843	186.882509839254	798.251349979793	-2.11851061824891	0.574365694826367	-3.6884351508656	0.00022563751731227	0.0103370187618684
mmu-mir-219-2-5p	182.268243917863	143.417445978586	17.6998833843735	38.1661463756223	95.3879299141113	-2.38832052787601	0.653877758471576	-3.6525489618406	0.000259650068279715	0.0111955000028842
mmu-mir-6539-5p	57.8503556782782	100.526247181252	2395.38421801854	228.996878253734	695.689424782952	3.40097584665091	0.94305228090528	3.60634920832401	0.000310535175387483	0.0126456824199458
mmu-mir-202-5p	24.566589397625	45.5718987221676	2.21248542304668	2.63214802590498	18.7457803921861	-3.24938778560053	0.923193904412484	-3.5197240472124	0.000431996003619896	0.0166659510870202
mmu-mir-199a-1-3p	19478.9279804394	12215.9495574658	57275.3476415505	50442.4847684431	34853.1774869747	1.69696118731173	0.496926595089751	3.41491319659644	0.000638023407878621	0.0233835578987515
mmu-mir-467e-5p	798.810390735678	711.725830043265	24086.5913055682	1169.98979751477	6691.77933096549	3.28423798114277	1.00946746909737	3.25343617469854	0.00114018335787368	0.0334301760528563
mmu-mir-466c-1-5p	107.776005099258	112.589396843002	3722.87547184655	169.773547670872	1028.25360536492	3.32465500348892	1.01997499659272	3.25954559140676	0.00111590843756214	0.0334301760528563
mmu-mir-411-5p	1973.2518580673	1048.15367060986	430.697162353088	367.184649613745	954.821835160997	-1.82765705559128	0.555273412266856	-3.29145429119328	0.000996708126395349	0.0334301760528563
mmu-mir-466n-5p	19.811765643246	41.5508488349175	1302.41641903348	48.6947384792422	353.118442997722	3.47247252515499	1.06133934452409	3.27178347158332	0.00106871391246859	0.0334301760528563
mmu-mir-3475-3p	1355.91724062375	1009.28352169977	125.374173972645	340.863169354696	707.859526412717	-2.17906183434032	0.664046655231916	-3.28148905980001	0.00103260530192918	0.0334301760528563
mmu-mir-297a-2-5p	31.6988250291936	30.828049135584	1247.84177859833	40.7982944015273	337.791736791159	3.3969995501035	1.06132300948565	3.20072166507519	0.00137083881992051	0.0386471098077591
mmu-mir-669a-5-5p	1052.40099096923	1186.20971673878	34258.1242904549	1417.41171194983	9478.53667752817	3.19401473893802	1.02613750966387	3.11265762030695	0.00185410976811403	0.0453020820009196
mmu-mir-467d-3p	256.760482736468	300.23839158134	13834.6713503109	205.307546020589	3649.24444266233	3.46569102992517	1.11150218976335	3.1180244734048	0.00182067684367169	0.0453020820009196
mmu-mir-669d-5p	143.437183257101	119.291146655086	3932.32409189497	180.302139774491	1093.83864039541	3.18619372120979	1.01987704087832	3.12409593853179	0.00178352293811096	0.0453020820009196
mmu-mir-183-3p	3.96235312864919	0	217.561066599591	6.58037006476246	57.0259474482506	3.73637054415016	1.19687512037419	3.12177142004759	0.00179766454688008	0.0453020820009196
mmu-mir-669o-5p	318.573191543395	251.985792934339	7963.47253268603	354.02390948422	2222.013856662	3.10154832250677	1.02146744890997	3.03636530544023	0.00239449065727733	0.051622401523067
mmu-mir-467c-5p	311.440955911827	373.957639514258	7677.32441797199	515.901013077377	2219.65600661886	2.95823553646905	0.973467638066461	3.03886376987817	0.00237472212598281	0.051622401523067
mmu-mir-10a-3p	4765.12587251352	5059.82110812302	1602.57694142681	542.222493336427	2992.43660384995	-2.03617345778077	0.668726354666216	-3.04485301584547	0.00232794049888456	0.051622401523067
mmu-mir-467d-5p	109.360946350718	128.673596392003	3306.92821231378	152.664585502489	924.406835139747	3.10208758506769	1.01956450879405	3.0425613664572	0.00234573982890249	0.051622401523067
mmu-mir-466h-5p	100.64376946769	172.905145151754	3529.65174490048	184.250361813349	996.862755333317	3.03565588446562	1.01373891418843	2.9945145066231	0.00274881984169178	0.0559690262211132
mmu-mir-466l-3p	3.16988250291936	5.36139984966678	193.961222087093	6.58037006476246	52.2682186261103	3.35420415482421	1.11984336690693	2.99524402603616	0.00274225358512611	0.0559690262211132
mmu-mir-669l-5p	257.552953362198	250.645442971922	6037.13522435339	313.225615082693	1714.63980894255	2.95777074778701	1.00375639785785	2.94670176359451	0.00321182809372574	0.062596675236211
mmu-mir-411-3p	151.361889514399	97.8455472564187	33.9247764867158	35.5339983497173	79.6665529018128	-1.74504529906232	0.592844799483993	-2.94351118636984	0.00324512095358256	0.062596675236211
mmu-mir-669c-5p	5215.24918792807	6861.25145761106	165698.195797953	5996.03320301156	45942.682411626	3.03353571217265	1.04057301762376	2.91525501891255	0.00355398005185979	0.063236786417277
